Golden,Colorado,USA
lat,long,elev
39.742,-105.18,1829
month,tau.b,tau.d
1,0.261,2.559
2,0.256,2.538
3,0.273,2.476
4,0.27,2.533
5,0.275,2.542
6,0.282,2.551
7,0.31,2.495
8,0.32,2.487
9,0.298,2.585
10,0.275,2.665
11,0.265,2.581
12,0.261,2.575
