TEODP Subset Summer 2017 CPU:ProgramCode_DP-CR3000_Updated_28-Jul-2016.CR3,,,,,,,,,,,,,
TimeStamp,WS10mMax_m/s,WS10mMin_m/s,WS10mAvg_m/s,WS10mStd_m/s,WS2mMax_m/s,WS2mMin_m/s,WS2mAvg_m/s,WS2mStd_m/s,WindDir10m_Deg,AirT10mAvg_DegC,AirT2mAvg_DegC,BPAvg_mmHg,RH_Perc
5/16/2017 20:00,13.15,4.8,8.1,2.01,10.9,4.38,7.01,1.47,145.9,26.87,26.82,462.8,53.14
5/16/2017 20:15,11.17,4.89,7.61,1.55,10.82,3.7,6.73,1.34,168,26.8,26.75,462.9,52.66
5/16/2017 20:30,11.93,4.65,7.88,1.64,10.75,4.15,7.13,1.37,136.6,26.73,26.67,462.9,53.13
5/16/2017 20:45,11.1,4.05,6.84,1.26,9.17,4,6.18,1.09,126.6,26.64,26.59,462.9,53.83
5/16/2017 21:00,10.46,3.76,6.53,1.35,9.92,3.93,6.33,1.13,144,26.55,26.5,462.9,54.36
5/16/2017 21:15,9.79,4,7.01,1.15,8.73,4.38,6.74,1,120.4,26.46,26.41,463.3,54.44
5/16/2017 21:30,10.67,4.22,6.91,1.4,9.17,3.85,6.46,1.22,151.9,26.41,26.33,463.3,54.06
5/16/2017 21:45,9.55,4.22,6.71,1.29,8.27,3.25,5.94,1.13,149.2,26.42,26.32,463.3,53.82
5/16/2017 22:00,12.14,5.05,7.68,1.35,9.85,4.53,7.05,1.13,147.9,26.53,26.44,463.3,52.92
5/16/2017 22:15,14.18,4.93,8.18,2.01,11.72,4.45,7.31,1.6,140.5,26.51,26.4,463.9,52.43
5/16/2017 22:30,15.58,5.02,8.7,2.14,13.15,4.83,7.84,1.87,143.7,26.46,26.37,463.9,53.34
5/16/2017 22:45,12.82,5.5,8.89,1.43,11.12,4.75,7.73,1.39,132.9,26.33,26.23,463.9,54.54
5/16/2017 23:00,12.52,4.6,9,1.91,11.12,4.38,7.79,1.53,140.4,26.22,26.1,463.9,55.29
5/16/2017 23:15,12.48,5.5,8.95,1.59,11.65,4.98,7.79,1.46,161.9,26.01,25.91,463.9,56.23
5/16/2017 23:30,14.67,6.43,10.29,1.76,12.4,5.95,8.89,1.53,151.2,25.85,25.75,463.9,57.09
5/16/2017 23:45,14.7,7.04,10.72,1.79,12.85,5.57,8.94,1.53,156,25.65,25.53,463.9,58.22
5/17/2017 0:00,12.54,6.11,9.17,1.38,10.37,4.68,7.66,1.18,155.3,25.42,25.3,463.9,58.98
5/17/2017 0:15,13.13,6.11,9.51,1.78,11.72,4.6,7.77,1.55,155.4,25.35,25.26,465.3,59.4
5/17/2017 0:30,14.49,6.18,10.26,1.76,12.25,5.65,8.34,1.43,145.1,25.22,25.14,465.3,59.45
5/17/2017 0:45,14.16,5.61,9.97,1.88,12.47,4.68,8.39,1.76,122.6,25.05,25,465.3,60.1
5/17/2017 1:00,12.13,4.46,9.11,1.41,10.9,5.35,7.98,1.23,159,24.78,24.73,465.3,61.08
5/17/2017 1:15,13.87,5.44,8.39,1.87,11.8,4.45,6.88,1.61,159.9,24.62,24.56,464.8,61.39
5/17/2017 1:30,13.38,4.61,7.89,1.81,10.67,3.18,6.29,1.39,140.2,24.42,24.36,464.8,62.2
5/17/2017 1:45,10.12,5.29,7.69,1.02,8.2,3.1,6.22,0.97,155,24.22,24.17,464.8,63.31
5/17/2017 2:00,12.05,4.14,6.94,1.54,9.02,3.18,5.27,1.33,164.7,24.16,24.09,464.9,63.83
5/17/2017 2:15,9.26,3.21,6.24,1.29,7.6,2.05,4.71,1.13,187,24.15,24.07,465.1,64.48
5/17/2017 2:30,8.89,2.74,5.27,1.22,6.55,2.05,3.99,0.99,202.4,24.05,23.96,465.1,66.1
5/17/2017 2:45,9.6,3.41,5.85,1.15,7.9,2.58,4.37,0.94,186.3,23.32,23.21,465.1,76.23
5/17/2017 3:00,7.27,2.25,4.7,0.9,5.8,2.05,3.38,0.79,161.1,21.92,21.82,465.1,82.5
5/17/2017 3:15,4.98,2.79,3.78,0.47,4.08,1.83,2.92,0.51,150.6,21.43,21.35,467.3,87.4
5/17/2017 3:30,11.36,2.19,4.87,2.06,8.73,1.83,3.64,1.47,239.2,20.1,20.13,467.3,90.2
5/17/2017 3:45,6.06,1.01,3.35,1.33,5.5,0,2.43,1.11,204.8,17.9,17.93,467.3,91.7
5/17/2017 4:00,4.5,0.34,2.44,0.78,3.93,0,1.93,0.7,147.2,17.72,17.68,467.4,92.3
5/17/2017 4:15,5.58,1.75,3.63,0.85,4.75,2.2,3.37,0.5,148.9,18,17.94,471.1,92.7
5/17/2017 4:30,6.35,1.73,3.71,0.96,6.03,1.53,3.34,0.9,145.9,18.17,18.09,471.1,92.7
5/17/2017 4:45,6.32,2.94,4.43,0.77,5.88,1.83,3.68,0.82,171.8,18.41,18.32,471.1,92.5
5/17/2017 5:00,6.32,2.43,3.92,0.86,4.9,1.45,2.91,0.73,157.5,18.36,18.22,471.1,91.9
5/17/2017 5:15,5.04,1.6,3.26,0.88,4.23,0.85,2.22,0.75,151.8,18.26,18.15,471.7,91.9
5/17/2017 5:30,5.09,2.05,3.3,0.61,4.6,1.23,2.61,0.61,101.6,18.28,18.2,471.7,92.2
5/17/2017 5:45,5.23,0.89,3.24,0.89,5.35,0.33,2.86,0.92,131,18.45,18.38,471.7,91.2
5/17/2017 6:00,6.07,2.95,4.52,0.62,5.2,2.35,3.48,0.63,157.2,18.61,18.5,471.7,91
5/17/2017 6:15,7.68,4.13,5.57,0.78,6.33,2.8,4.29,0.74,182.3,18.8,18.63,472.3,90.7
5/17/2017 6:30,6.19,3.26,4.58,0.67,4.9,2.2,3.36,0.54,171.4,18.81,18.62,472.3,91.8
5/17/2017 6:45,6.82,3.77,5.08,0.66,5.13,2.65,3.73,0.58,160.2,19.06,18.91,472.3,92.6
5/17/2017 7:00,6.53,2.77,4.55,0.79,5.5,1.9,3.33,0.7,159.7,19.33,19.2,472.3,92.8
5/17/2017 7:15,6.63,2.92,4.88,0.8,5.2,2.05,3.74,0.67,152.8,19.59,19.44,472,92.1
5/17/2017 7:30,7.73,3.34,5.69,0.83,6.55,2.2,4.28,0.76,154.7,19.83,19.66,472,90.4
5/17/2017 7:45,7.74,3.22,5.27,0.92,6.18,2.58,3.92,0.84,154.7,19.99,19.93,472,89
5/17/2017 8:00,6.72,3,4.74,0.79,5.57,2.43,3.58,0.65,158.1,20.14,20.19,472,88.4
5/17/2017 8:15,7.21,4.07,5.5,0.71,5.88,2.65,4.13,0.69,165.3,20.48,20.57,470.8,85.4
5/17/2017 8:30,7.98,3.83,5.97,0.99,6.4,2.65,4.57,0.83,163.7,20.85,21.04,470.8,82.2
5/17/2017 8:45,8.52,3.92,5.94,0.89,6.48,2.8,4.55,0.82,155.1,21.17,21.42,470.8,81.3
5/17/2017 9:00,7.94,3.67,6.01,0.95,6.92,2.8,4.6,0.82,151.8,21.3,21.53,470.8,82.7
5/17/2017 9:15,6.68,2.61,4.86,0.87,5.27,2.28,3.81,0.7,167.2,21.85,22.22,469.3,80
5/17/2017 9:30,7.64,3.64,5.71,0.8,6.48,2.73,4.34,0.77,157.4,22.13,22.62,469.3,78.53
5/17/2017 9:45,7.92,3.47,5.15,0.82,6.25,2.58,4.05,0.73,177.2,22.45,22.87,469.3,76.98
5/17/2017 10:00,7.59,3.66,5.5,0.89,5.73,2.65,4.15,0.74,172.9,23.09,23.67,469.3,72.57
5/17/2017 10:15,7.57,3.01,5.46,0.94,5.8,2.28,4.19,0.69,155.7,23.53,24.12,466.2,69.79
5/17/2017 10:30,8.46,3.67,5.78,0.98,7.52,3.03,4.54,0.98,165.7,23.74,24.39,466.2,68.18
5/17/2017 10:45,7.75,3.04,5.56,0.85,5.95,2.58,4.22,0.75,170.1,24.22,24.88,466.2,63.7
5/17/2017 11:00,6.74,3.02,5.27,0.95,5.8,2.13,3.97,0.82,166.6,24.9,25.45,466.2,61.5
5/17/2017 11:15,7.3,2.9,5.06,1.03,5.8,2.2,3.9,0.78,182.7,25.74,26.17,464.5,50.77
5/17/2017 11:30,8.05,2.97,5.11,1.16,5.8,1.45,3.88,0.98,174.7,26.28,26.73,464.5,33.33
5/17/2017 11:45,7.89,3.15,5.15,1.34,6.7,2.13,3.85,1.05,218.6,26.85,27.2,464.5,31.3
5/17/2017 12:00,7.64,2.8,5.07,1.19,6.25,1.6,3.8,0.93,191.2,27.11,27.52,464.4,30.27
5/17/2017 12:15,9.26,3.45,5.83,1.4,7.15,1.9,4.46,1.06,178.8,27.21,27.64,462.3,34.14
5/17/2017 12:30,10.16,3.21,5.98,1.16,7.38,2.28,4.44,1.02,176.1,27.37,27.82,462.3,33.3
5/17/2017 12:45,8.58,3.36,5.72,1.2,7,1.98,4.36,1.03,217.7,27.54,28.04,462.3,34.08
5/17/2017 13:00,9.22,2.62,5.85,1.44,7.67,2.13,4.43,1.18,189.8,27.77,28.23,462.3,31.68
5/17/2017 13:15,9.21,3.22,5.93,1.41,7.83,2.35,4.56,1.23,171.3,28.04,28.53,461.3,32.45
5/17/2017 13:30,8.41,2.84,5.74,1.04,6.55,1.53,4.37,0.95,185.2,28.36,28.88,461.3,26.45
5/17/2017 13:45,8.7,3.42,6.19,1.26,7.08,2.35,4.67,1.14,208.3,28.57,29.04,461.3,23.5
5/17/2017 14:00,9.46,3.39,5.72,1.32,7.3,2.65,4.39,1,186.6,28.77,29.22,461.3,24.05
5/17/2017 14:15,10.06,2.92,5.77,1.69,8.73,1.98,4.49,1.44,174.2,29.09,29.56,460.5,25.66
5/17/2017 14:30,8.36,3.15,5.7,1.17,6.48,2.28,4.32,0.98,158.7,29.49,29.99,460.5,22.64
5/17/2017 14:45,9.46,4.13,6,1.14,8.13,2.28,4.62,1.08,177.4,29.56,30.05,460.5,19.21
5/17/2017 15:00,9.11,3.22,6.04,1.14,7.45,2.65,4.78,1.02,176.9,29.8,30.26,460.5,19.5
5/17/2017 15:15,10.34,3.57,6.19,1.38,7.3,2.73,4.64,1.16,182.9,30.11,30.58,459.4,18.8
5/17/2017 15:30,11.16,3.12,6.28,1.49,8.5,1.83,4.71,1.23,178.5,30.26,30.66,459.4,18.58
5/17/2017 15:45,9.4,3.66,6.04,1.14,7.75,1.83,4.57,1.23,199.6,30.38,30.78,459.4,18.18
5/17/2017 16:00,7.8,3.13,5.42,1.11,6.4,1.9,4.12,1.02,187.6,30.7,31.11,459.4,16.43
5/17/2017 16:15,7.92,4.15,6.03,0.93,7.75,2.5,4.6,1.07,162.6,30.68,31.06,459,15.68
5/17/2017 16:30,8.52,3.71,5.81,1.12,7.52,2.5,4.53,1,182.8,30.86,31.18,459,17.66
5/17/2017 16:45,8.48,2.7,5.88,1.19,7.15,1.9,4.42,1.02,192.8,30.85,31.19,459,14.28
5/17/2017 17:00,8.74,2.89,5.32,1.21,6.78,2.05,4.07,1.02,190.5,31.02,31.34,459,13.99
5/17/2017 17:15,8.92,3.82,6.54,1.09,7.6,2.65,4.95,0.94,157.8,30.89,31.21,458.9,17.36
5/17/2017 17:30,8.97,4.26,6.61,1.16,6.7,2.5,4.98,0.86,171.3,30.84,31.23,458.9,18.41
5/17/2017 17:45,8.94,3.17,5.49,1.1,7,2.05,4.31,0.99,184.4,30.92,31.19,458.9,19.87
5/17/2017 18:00,7.64,3.1,5.31,1,5.8,1.9,3.97,0.82,160.8,30.95,31.17,458.9,22.29
5/17/2017 18:15,7.89,3.49,5.46,0.91,5.95,2.13,4.1,0.82,201.5,30.85,31.1,459.8,23.37
5/17/2017 18:30,7.23,2.65,4.97,0.89,5.95,2.13,3.91,0.79,162.8,30.75,30.99,459.8,25.51
5/17/2017 18:45,7.86,3.53,5.48,0.97,6.25,2.58,4.3,0.8,159.6,30.49,30.74,459.8,25.09
5/17/2017 19:00,8.1,3.76,5.28,0.93,6.25,2.05,4.02,0.81,154.9,30.34,30.5,459.8,26.53
5/17/2017 19:15,6.62,2.88,4.58,0.93,5.88,2.13,3.56,0.85,164.6,30.19,30.34,459,27.39
5/17/2017 19:30,6.12,2.14,3.87,0.89,5.27,1.53,3.01,0.89,169,29.9,29.99,459,28.57
5/17/2017 19:45,5.61,2.18,3.53,0.69,4.75,1.68,2.7,0.59,154.3,29.56,29.5,459,29.55
5/17/2017 20:00,4.45,1.66,3.06,0.54,3.93,1.15,2.32,0.52,137.3,29.22,29.01,459.1,31.94
5/17/2017 20:15,4.79,2.16,3.46,0.48,4.08,1.6,2.69,0.55,155.7,28.82,28.57,461,34.62
5/17/2017 20:30,5.24,2.27,3.49,0.51,4.23,1.6,2.72,0.57,139.6,28.46,28.08,461,35.89
5/17/2017 20:45,4.89,1.96,3.1,0.63,3.93,1.38,2.57,0.54,138.6,28.13,27.85,461,37.38
5/17/2017 21:00,5.96,2.41,4,0.67,5.05,1.83,3.24,0.64,142.4,27.84,27.59,461,42.6
5/17/2017 21:15,7.31,3.17,4.89,0.93,6.48,2.35,4.01,0.89,148.5,27.64,27.39,462,46.71
5/17/2017 21:30,9.77,3.76,6.46,1.38,8.57,3.1,5.49,1.14,107.9,27.34,27.19,462,53.35
5/17/2017 21:45,8.94,2.63,5.71,1.47,7,1.98,4.5,1.23,148.5,26.95,26.75,462,56.07
5/17/2017 22:00,5.2,1.99,3.74,0.67,4.53,1.3,2.94,0.67,151.7,26.46,26.21,462.1,58.51
5/17/2017 22:15,9.38,2.91,5.52,1.48,7.08,2.2,4.47,1.21,142.8,26.18,25.98,463.5,60.33
5/17/2017 22:30,9.4,4.59,7.14,1.14,8.5,3.4,5.8,1.13,143.6,25.9,25.74,463.5,64.74
5/17/2017 22:45,9.45,3.94,5.65,1.05,6.62,2.5,4.52,0.86,141.5,25.45,25.27,463.5,67.57
5/17/2017 23:00,8.36,3.82,6.05,1.08,6.85,3.03,4.81,0.93,147.5,25.05,24.9,463.5,71.97
5/17/2017 23:15,8.32,3.68,5.7,1.05,6.78,2.65,4.45,1.02,152.5,24.78,24.61,464,73.68
5/17/2017 23:30,8.21,2.73,5.61,1.12,6.4,2.58,4.32,0.85,163.3,24.72,24.6,464,73.98
5/17/2017 23:45,8.95,3.43,5.86,1.3,7.52,2.28,4.49,1.07,160.6,24.69,24.57,464,73.49
5/18/2017 0:00,9.16,3.9,6.11,1,6.85,3.1,4.66,0.9,158.4,24.61,24.45,464,73.74
5/18/2017 0:15,8.52,4.28,5.76,0.86,6.33,2.65,4.37,0.71,155.2,24.63,24.47,464.5,73.93
5/18/2017 0:30,7.9,3.41,5.67,1.11,6.03,2.35,4.19,0.85,150.7,24.64,24.48,464.5,74.6
5/18/2017 0:45,7.71,2.95,5.46,0.96,5.8,2.58,4.08,0.75,120.2,24.6,24.42,464.5,75.45
5/18/2017 1:00,9.07,3.77,5.88,1.06,7.08,2.65,4.44,0.86,162.5,24.57,24.36,464.5,74.93
5/18/2017 1:15,8.92,3.84,5.78,1.2,7.52,2.73,4.44,1.05,159.5,24.58,24.4,464.7,74.73
5/18/2017 1:30,7.59,3.26,5.03,0.96,6.85,2.2,3.84,0.86,152.2,24.62,24.49,464.7,74.74
5/18/2017 1:45,7.39,3.67,5.32,0.78,6.18,2.65,4.08,0.7,145.7,24.7,24.6,464.7,74.16
5/18/2017 2:00,8.92,3.55,5.74,0.97,7.38,2.73,4.51,0.89,146.9,24.77,24.65,464.7,73.82
5/18/2017 2:15,7.55,3.28,5.35,1.05,6.55,2.43,4.27,1.04,173,24.78,24.66,465,73.64
5/18/2017 2:30,8.21,3.58,6.03,0.96,6.62,2.5,4.64,0.96,158.3,24.82,24.71,465,73.17
5/18/2017 2:45,8.24,3.97,5.85,1.11,7.15,2.8,4.72,1.01,155,24.77,24.64,465,73.74
5/18/2017 3:00,7.55,3.41,5.39,1.01,5.8,2.43,4.13,0.79,154.5,24.66,24.53,465,74.15
5/18/2017 3:15,8.46,2.36,5.37,1.11,6.85,2.35,4.19,0.84,135.5,24.72,24.61,466,73.02
5/18/2017 3:30,7.51,3.54,5.61,0.88,6.1,2.28,4.31,0.75,149.7,24.81,24.7,466,72.14
5/18/2017 3:45,7.31,3.18,5.26,0.88,6.18,2.13,4.19,0.86,134.9,24.83,24.73,466,72.1
5/18/2017 4:00,7.11,3.18,5.18,0.82,6.03,2.13,4.17,0.8,148.4,24.84,24.73,466,71.25
5/18/2017 4:15,7.86,3.01,5.25,1.31,7.08,2.43,4.27,1.15,135.3,24.81,24.71,466.4,72.23
5/18/2017 4:30,8.52,3.5,5.96,1.13,7.45,3.25,4.9,0.96,125.3,24.81,24.71,466.4,71.07
5/18/2017 4:45,9.02,2.95,5.71,1.13,7.3,2.35,4.55,0.96,156.6,24.79,24.7,466.4,72.07
5/18/2017 5:00,7.55,3.04,4.89,0.91,6.4,2.05,4.01,0.86,161.6,24.68,24.6,466.4,73
5/18/2017 5:15,7.5,2.74,4.99,1.12,6.33,2.2,3.97,1.04,142.8,24.64,24.55,466,73.34
5/18/2017 5:30,7.93,3,5.18,1.03,6.48,2.28,3.99,0.94,155.2,24.65,24.55,466,71.55
5/18/2017 5:45,7.28,3.38,5.34,0.82,5.95,2.58,4.16,0.75,153.7,24.66,24.56,466,72.58
5/18/2017 6:00,6.58,2.86,5.06,0.69,6.55,2.05,4.12,0.75,141,24.6,24.5,466,72.72
5/18/2017 6:15,6.98,3.06,5.4,0.89,6.03,2.13,4.31,0.79,156.5,24.58,24.47,465.5,72.37
5/18/2017 6:30,8.43,3.67,5.75,1.16,6.4,2.43,4.33,0.93,166.8,24.6,24.48,465.5,72.42
5/18/2017 6:45,8.52,4.04,5.94,1.01,7.22,3.18,4.49,0.83,167.4,24.57,24.46,465.5,71.32
5/18/2017 7:00,8.57,4.09,6.52,0.98,7.45,3.33,4.98,0.77,140.4,24.63,24.53,465.5,71.06
5/18/2017 7:15,9.29,3.71,5.67,1.13,6.7,2.65,4.32,0.94,147.2,24.65,24.56,465.5,70.38
5/18/2017 7:30,7.93,3.38,5.29,0.79,6.55,2.5,4.2,0.79,154.3,24.69,24.66,465.5,71.08
5/18/2017 7:45,7.31,3.19,5.09,0.9,6.7,2.5,4.18,0.77,137.8,24.75,24.77,465.5,70.86
5/18/2017 8:00,7.64,2.96,5.07,0.97,6.62,2.65,4.25,0.87,138.2,24.95,25.1,465.5,71.17
5/18/2017 8:15,8.65,3.26,5.9,1.02,7.15,3.1,4.71,0.82,161.5,24.92,25.07,465.3,70.62
5/18/2017 8:30,8.64,3.15,5.4,1.3,6.78,2.65,4.36,0.92,139,25.26,25.54,465.3,68.9
5/18/2017 8:45,7.3,2.73,5.08,1.18,7.15,2.43,4.47,0.94,159.7,25.63,25.99,465.3,68.48
5/18/2017 9:00,8.94,4.48,6.43,0.97,7.45,3.33,5.21,0.88,152.9,25.28,25.47,465.3,70.37
5/18/2017 9:15,9.03,3.82,6.15,1.07,6.92,3.03,4.74,0.92,172.2,25.31,25.45,464,70.29
5/18/2017 9:30,8.8,4.2,6.24,1.07,6.7,3.25,4.77,0.8,152,25.46,25.7,464,69.68
5/18/2017 9:45,8.13,3.72,5.79,1.04,6.55,3.03,4.48,0.77,184.5,25.8,26.16,464,66.77
5/18/2017 10:00,8.63,4.68,6.56,0.9,7.52,3.7,5.05,0.79,157,25.99,26.29,464,66.2
5/18/2017 10:15,9.54,4.33,6.47,1.16,7.75,3.33,5.08,0.94,165.4,26.4,26.77,463.7,64.44
5/18/2017 10:30,8.98,3.05,5.71,1.38,7.6,2.43,4.35,1.15,165.7,26.69,27.12,463.7,60.01
5/18/2017 10:45,7.51,3.8,5.76,0.76,6.33,2.95,4.35,0.7,158.5,26.8,27.17,463.7,60.78
5/18/2017 11:00,9.49,3.19,5.56,1.12,8.27,2.65,4.83,1.13,158.4,27.67,28.19,463.7,58.22
5/18/2017 11:15,8.82,3.49,5.89,1.12,6.92,2.95,4.67,0.93,171.9,27.83,28.4,461.9,58.71
5/18/2017 11:30,8.9,4.3,6.42,1.09,6.85,2.73,4.81,0.94,169.5,27.69,27.98,461.9,54.63
5/18/2017 11:45,10.14,4.95,7.47,1.12,8.57,3.7,5.9,1.07,154.3,28.48,29.03,461.9,52.37
5/18/2017 12:00,8.51,3.85,6.29,0.98,6.62,3.18,4.88,0.73,160.1,28.62,29.15,461.9,53.79
5/18/2017 12:15,9.97,4.09,6.57,1.29,8.05,3.4,5.22,1.08,151.8,28.93,29.63,460.9,49.14
5/18/2017 12:30,10.79,4.25,7.04,1.4,9.47,4,5.83,1.1,157.5,29.68,30.38,460.9,46.62
5/18/2017 12:45,9.81,4.29,7.17,1.2,7.97,3.33,5.84,1.03,155.6,29.73,30.41,460.9,45.35
5/18/2017 13:00,9.82,3.77,6.43,1.46,9.1,3.93,5.78,1.07,149.5,29.93,30.41,460.8,45.84
5/18/2017 13:15,10.82,4.7,7.46,1.46,9.17,3.85,6.21,1.24,153.2,30.33,31,459.3,44.61
5/18/2017 13:30,11.01,4.55,7.62,1.27,9.32,3.78,6.62,1.14,139.1,30.47,30.97,459.3,44.5
5/18/2017 13:45,9.63,3.86,6.79,1.3,7.75,4.23,5.94,0.85,155.9,30.8,31.22,459.3,44.39
5/18/2017 14:00,10.88,4.38,7.51,1.54,8.27,3.25,5.99,1.2,83.9,31.05,31.7,459.3,43.51
5/18/2017 14:15,10.24,3.88,7.12,1.44,8.13,3.7,5.86,1.08,160.2,31.27,31.9,458.4,40.54
5/18/2017 14:30,11.62,4.63,8.18,1.61,9.85,3.78,7.21,1.33,114.8,30.88,31.22,458.4,42.9
5/18/2017 14:45,11.52,6.07,8.38,1.17,9.47,4.45,7.13,1.11,155.6,31.15,31.66,458.4,41.63
5/18/2017 15:00,10.62,5.14,7.81,1.3,9.1,4.68,6.75,1.03,162.3,31.38,31.87,458.3,42.95
5/18/2017 15:15,10.5,3.95,7.64,1.49,8.73,3.85,6.29,1.19,155.3,31.57,32.07,458,41.72
5/18/2017 15:30,12.39,5.04,7.68,1.57,10.45,4.15,6.52,1.25,154.7,31.77,32.26,458,40.41
5/18/2017 15:45,11.68,3.23,7.55,1.72,11.43,4.45,6.97,1.47,136.9,31.97,32.38,458,41.97
5/18/2017 16:00,13.33,4.97,8.77,1.75,10.75,4.08,7.49,1.55,147,31.91,32.37,458,41.13
5/18/2017 16:15,13.42,7.04,9.61,1.51,11.43,5.2,7.9,1.33,146.5,31.6,32.12,458.4,42.64
5/18/2017 16:30,12.3,4.13,8.39,1.61,11.87,4.6,7.65,1.54,134,31.54,31.9,458.4,43.35
5/18/2017 16:45,13.57,5.33,9.39,1.8,11.72,4.38,8.18,1.58,154.1,31.3,31.62,458.4,44.59
5/18/2017 17:00,13.68,5.96,9.25,1.53,11.5,4.9,8.01,1.37,144.5,31.18,31.51,458.4,43.6
5/18/2017 17:15,12.86,5.79,9.66,1.64,11.12,4.75,8.24,1.31,116.4,31.06,31.38,458.5,45.02
