TEODP Subset Summer 2017 CPU:ProgramCode_DP-CR3000_Updated_28-Jul-2016.CR3,,,,,,,,,,,,,
TimeStamp,WS10mMax_m/s,WS10mMin_m/s,WS10mAvg_m/s,WS10mStd_m/s,WS2mMax_m/s,WS2mMin_m/s,WS2mAvg_m/s,WS2mStd_m/s,WindDir10m_Deg,AirT10mAvg_DegC,AirT2mAvg_DegC,BPAvg_mmHg,RH_Perc
5/16/2017 10:00,10.98,0,7.38,2.28,9.7,3.4,6.92,1.07,151.7,23.81,24.39,5.164,59.18
5/16/2017 10:15,11.3,4.49,7.75,1.39,10,3.55,6.37,1.12,135,24.32,24.91,464.8,55.07
5/16/2017 10:30,11.27,3.98,7.79,1.36,9.85,4.3,6.54,1.07,141.6,24.58,25.09,464.8,55.84
5/16/2017 10:45,11.88,3.75,8.23,1.59,9.4,2.88,6.96,1.35,128.7,24.8,25.34,464.8,54.05
5/16/2017 11:00,10,4.29,6.78,1.32,8.35,3.63,6.07,1.23,147.7,25.19,25.57,464.8,54.81
5/16/2017 11:15,10.1,3.19,6.76,1.41,8.95,3.03,5.74,1.2,141.2,25.08,25.48,463.7,55.79
5/16/2017 11:30,9.96,4.25,7.15,1.35,8.8,4.23,6.31,1.08,160.1,25.12,25.49,463.7,56.15
5/16/2017 11:45,8.63,0,6.54,2.49,7.15,0,5.63,2.12,141.2,25.69,26.01,0,53.6
5/16/2017 12:00,10.94,3.28,6.54,1.25,8.5,3.03,6.16,0.98,125.5,25.71,25.96,5.152,53.6
5/16/2017 12:15,9.91,3.31,6.31,1.41,8.2,3.55,5.65,1.1,166.8,25.82,26.06,463.7,53.14
5/16/2017 12:30,9.63,4.22,6.79,1.27,8.35,3.7,5.64,1.08,164.9,26.15,26.49,463.7,52.47
5/16/2017 12:45,10.57,3.97,6.91,1.32,8.43,4.6,6.11,0.92,156.8,26.17,26.39,463.7,52.92
5/16/2017 13:00,10.55,5.21,7.58,1.23,9.25,3.78,6.55,1.16,140.5,26.07,26.29,463.7,53.14
5/16/2017 13:15,9.68,3.17,6.88,1.56,8.57,3.55,5.98,1.16,162.1,26.29,26.49,462.9,53.36
5/16/2017 13:30,10.31,4.46,6.94,1.33,9.4,3.63,5.95,1.17,144.5,26.34,26.52,462.9,53.49
5/16/2017 14:45,11.61,6.36,8.4,1.27,10.22,5.27,7.47,1.04,158,26.25,26.41,462.9,54.05
5/16/2017 15:00,10.28,4.82,6.82,1.11,8.13,3.63,5.75,0.97,164.9,26.34,26.54,462.9,53.71
5/16/2017 15:15,10.26,4.18,7.36,1.21,10.08,3.78,6.24,1.3,156.4,26.1,26.27,462.6,54.5
5/16/2017 15:30,11.65,3.45,7.26,1.75,9.55,2.88,6.12,1.44,143,25.96,26.11,462.6,55.32
5/16/2017 15:45,9.91,3.99,6.49,1.31,9.02,3.1,5.44,1.18,158,26.12,26.29,462.6,54.24
5/16/2017 16:00,10.33,3.53,7.09,1.66,8.57,2.8,6.01,1.4,153.3,26.15,26.28,462.6,54.41
5/16/2017 16:15,8.49,4.13,6.28,1.08,7.6,3.55,5.33,0.91,140.8,26.18,26.28,462.7,53.79
5/16/2017 16:30,10.09,3.48,6.92,1.41,8.95,3.25,6.03,1.37,152.7,26.34,26.47,462.7,54.24
5/16/2017 16:45,11.37,5.1,7.72,1.48,9.7,3.7,6.52,1.27,147.2,26.32,26.43,462.7,53.92
5/16/2017 17:00,11.76,4.37,7.44,1.49,10.52,3.33,6.35,1.38,151.5,26.38,26.51,462.7,53.75
5/16/2017 17:15,12.26,4.31,7.09,1.69,10.22,3.48,6.08,1.42,137.4,26.59,26.76,462.9,53.02
5/16/2017 17:30,10.05,3.78,7,1.29,8.87,4.45,6.46,1.05,149.2,26.8,26.97,462.9,52.02
5/16/2017 17:45,11.76,4.53,8.46,1.78,10.67,4.38,7.56,1.52,123.9,27.05,27.32,462.9,50.94
5/16/2017 18:00,13,3.66,8.28,1.89,10.75,4.6,7.47,1.5,155.2,27.07,27.22,462.9,52.45
5/16/2017 18:15,10.84,2.92,5.8,1.46,9.4,3.1,5.3,1.2,142.5,27.06,27.16,462.1,52.35
5/16/2017 18:30,9.97,4.54,6.76,1.23,9.92,3.48,6.48,1.18,151.4,26.98,27.02,462.1,52.18
5/16/2017 18:45,10.53,3.79,7.41,1.33,8.95,4.38,6.51,1.03,103,27.05,27.1,462.1,51.58
5/16/2017 19:00,11.45,4.72,7.89,1.56,9.7,4.6,7.05,1.23,149.6,27.09,27.13,462.1,51.33
5/16/2017 19:15,12.71,4.48,7.82,1.62,11.57,3.55,7.33,1.52,105.8,27.25,27.35,462.8,51.7
5/16/2017 19:30,11.69,3.64,7.25,1.57,10,4.15,6.87,1.3,150.7,27.18,27.25,462.8,52.49
5/16/2017 19:45,12.37,4.6,8.43,1.99,12.7,4.08,7.52,1.82,127.4,27.03,27,462.8,52.69
