Atlanta-Hartsfield-Jackson,Georgia,USA
lat,long,elev
33.64,-84.43,1027
month,tau.b,tau.d
1,0.31,2.538
2,0.315,2.521
3,0.347,2.453
4,0.386,2.324
5,0.44,2.213
6,0.473,2.168
7,0.515,2.066
8,0.515,2.052
9,0.417,2.312
10,0.363,2.46
11,0.333,2.484
12,0.311,2.554
